Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
France,Senegal,0,1,-1,0,1,Group
Uruguay,Denmark,1,2,-1,0,1,Group
Ireland,Cameroon,1,1,0,0,0,Group
Germany,SaudiArabia,8,0,8,1,0,Group
Argentina,Nigeria,1,0,1,1,0,Group
Paraguay,SouthAfrica,2,2,0,0,0,Group
England,Sweden,1,1,0,0,0,Group
Spain,Slovenia,3,1,2,1,0,Group
Brazil,Turkey,2,1,1,1,0,Group
Italy,Ecuador,2,0,2,1,0,Group
Croatia,Mexico,0,1,-1,0,1,Group
China,CostaRica,0,2,-2,0,1,Group
Japan,Belgium,2,2,0,0,0,Group
Korea,Poland,2,0,2,1,0,Group
Russia,Tunisia,2,0,2,1,0,Group
UnitedStates,Portugal,3,2,1,1,0,Group
Germany,Ireland,1,1,0,0,0,Group
Denmark,Senegal,1,1,0,0,0,Group
Cameroon,SaudiArabia,1,0,1,1,0,Group
France,Uruguay,0,0,0,0,0,Group
Sweden,Nigeria,2,1,1,1,0,Group
Argentina,England,0,1,-1,0,1,Group
Spain,Paraguay,3,1,2,1,0,Group
SouthAfrica,Slovenia,1,0,1,1,0,Group
Brazil,China,4,0,4,1,0,Group
Italy,Croatia,1,2,-1,0,1,Group
CostaRica,Turkey,1,1,0,0,0,Group
Japan,Russia,1,0,1,1,0,Group
Mexico,Ecuador,2,1,1,1,0,Group
Korea,UnitedStates,1,1,0,0,0,Group
Portugal,Poland,4,0,4,1,0,Group
Tunisia,Belgium,1,1,0,0,0,Group
Denmark,France,2,0,2,1,0,Group
Senegal,Uruguay,3,3,0,0,0,Group
SaudiArabia,Ireland,0,3,-3,0,1,Group
Cameroon,Germany,0,2,-2,0,1,Group
Sweden,Argentina,1,1,0,0,0,Group
Nigeria,England,0,0,0,0,0,Group
Slovenia,Paraguay,1,3,-2,0,1,Group
SouthAfrica,Spain,2,3,-1,0,1,Group
CostaRica,Brazil,2,5,-3,0,1,Group
Turkey,China,3,0,3,1,0,Group
Ecuador,Croatia,1,0,1,1,0,Group
Mexico,Italy,1,1,0,0,0,Group
Tunisia,Japan,0,2,-2,0,1,Group
Portugal,Korea,0,1,-1,0,1,Group
Poland,UnitedStates,3,1,2,1,0,Group
Belgium,Russia,3,2,1,1,0,Group
Denmark,England,0,3,-3,0,1,Round of Sixteen
Germany,Paraguay,1,0,1,1,0,Round of Sixteen
Spain,Ireland,1,1,0,0,0,Round of Sixteen
Sweden,Senegal,1,2,-1,0,1,Round of Sixteen
Brazil,Belgium,2,0,2,1,0,Round of Sixteen
Mexico,UnitedStates,0,2,-2,0,1,Round of Sixteen
Japan,Turkey,0,1,-1,0,1,Round of Sixteen
Korea,Italy,2,1,1,1,0,Round of Sixteen
England,Brazil,1,2,-1,0,1,Quarter Finals
Germany,UnitedStates,1,0,1,1,0,Quarter Finals
Senegal,Turkey,0,1,-1,0,1,Quarter Finals
Spain,Korea,0,0,0,0,0,Quarter Finals
