Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Spain,Korea,2,2,0,0,0,Group
Germany,Bolivia,1,0,1,1,0,Group
UnitedStates,Switzerland,1,1,0,0,0,Group
Italy,Ireland,0,1,-1,0,1,Group
Colombia,Romania,1,3,-2,0,1,Group
Belgium,Morocco,1,0,1,1,0,Group
Norway,Mexico,1,0,1,1,0,Group
Cameroon,Sweden,2,2,0,0,0,Group
Netherlands,SaudiArabia,2,1,1,1,0,Group
Brazil,Russia,2,0,2,1,0,Group
Argentina,Greece,4,0,4,1,0,Group
Nigeria,Bulgaria,3,0,3,1,0,Group
Germany,Spain,1,1,0,0,0,Group
Romania,Switzerland,1,4,-3,0,1,Group
UnitedStates,Colombia,2,1,1,1,0,Group
Italy,Norway,1,0,1,1,0,Group
Korea,Bolivia,0,0,0,0,0,Group
Mexico,Ireland,2,1,1,1,0,Group
Sweden,Russia,3,1,2,1,0,Group
Brazil,Cameroon,3,0,3,1,0,Group
Belgium,Netherlands,1,0,1,1,0,Group
SaudiArabia,Morocco,2,1,1,1,0,Group
Argentina,Nigeria,2,1,1,1,0,Group
Bulgaria,Greece,4,0,4,1,0,Group
UnitedStates,Romania,0,1,-1,0,1,Group
Switzerland,Colombia,0,2,-2,0,1,Group
Germany,Korea,3,2,1,1,0,Group
Bolivia,Spain,1,3,-2,0,1,Group
Ireland,Norway,0,0,0,0,0,Group
Brazil,Sweden,1,1,0,0,0,Group
Italy,Mexico,1,1,0,0,0,Group
Russia,Cameroon,6,1,5,1,0,Group
Morocco,Netherlands,1,2,-1,0,1,Group
Belgium,SaudiArabia,0,1,-1,0,1,Group
Greece,Nigeria,0,2,-2,0,1,Group
Argentina,Bulgaria,0,2,-2,0,1,Group
Germany,Belgium,3,2,1,1,0,Round of Sixteen
Spain,Switzerland,3,0,3,1,0,Round of Sixteen
SaudiArabia,Sweden,1,3,-2,0,1,Round of Sixteen
Romania,Argentina,3,2,1,1,0,Round of Sixteen
Netherlands,Ireland,2,0,2,1,0,Round of Sixteen
Brazil,UnitedStates,1,0,1,1,0,Round of Sixteen
Nigeria,Italy,1,2,-1,0,1,Round of Sixteen
Mexico,Bulgaria,1,1,0,0,0,Round of Sixteen
Italy,Spain,2,1,1,1,0,Quarter Finals
Netherlands,Brazil,2,3,-1,0,1,Quarter Finals
Bulgaria,Germany,2,1,1,1,0,Quarter Finals
Romania,Sweden,2,2,0,0,0,Quarter Finals
Bulgaria,Italy,1,2,-1,0,1,Semi Finals
