Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
South Africa,Mexico,1,1,0,0,0,Group
Uruguay,France,0,0,0,0,0,Group
Korea,Greece,2,0,2,1,0,Group
Argentina,Nigeria,1,0,1,1,0,Group
England,UnitedStates,1,1,0,0,0,Group
Algeria,Slovenia,0,1,-1,0,1,Group
Serbia,Ghana,0,1,-1,0,1,Group
Germany,Australia,4,0,4,1,0,Group
Netherlands,Denmark,2,0,2,1,0,Group
Japan,Cameroon,1,0,1,1,0,Group
Italy,Paraguay,1,1,0,0,0,Group
New Zealand,Slovakia,1,1,0,0,0,Group
CotedIvoire,Portugal,0,0,0,0,0,Group
Brazil,KoreaDPR,2,1,1,1,0,Group
Honduras,Chile,0,1,-1,0,1,Group
Spain,Switzerland,0,1,-1,0,1,Group
South Africa,Uruguay,0,3,-3,0,1,Group
Argentina,Korea,4,1,3,1,0,Group
Greece,Nigeria,2,1,1,1,0,Group
France,Mexico,0,2,-2,0,1,Group
Germany,Serbia,0,1,-1,0,1,Group
Slovenia,UnitedStates,2,2,0,0,0,Group
England,Algeria,0,0,0,0,0,Group
Netherlands,Japan,1,0,1,1,0,Group
Ghana,Australia,1,1,0,0,0,Group
Cameroon,Denmark,1,2,-1,0,1,Group
Slovakia,Paraguay,0,2,-2,0,1,Group
Italy,New Zealand,1,1,0,0,0,Group
Brazil,CotedIvoire,3,1,2,1,0,Group
Portugal,KoreaDPR,7,0,7,1,0,Group
Chile,Switzerland,1,0,1,1,0,Group
Spain,Honduras,2,0,2,1,0,Group
Mexico,Uruguay,0,1,-1,0,1,Group
France,South Africa,1,2,-1,0,1,Group
Nigeria,Korea,2,2,0,0,0,Group
Greece,Argentina,0,2,-2,0,1,Group
Slovenia,England,0,1,-1,0,1,Group
UnitedStates,Algeria,1,0,1,1,0,Group
Ghana,Germany,0,1,-1,0,1,Group
Australia,Serbia,2,1,1,1,0,Group
Slovakia,Italy,3,2,1,1,0,Group
Paraguay,New Zealand,0,0,0,0,0,Group
Denmark,Japan,1,3,-2,0,1,Group
Cameroon,Netherlands,1,2,-1,0,1,Group
Portugal,Brazil,0,0,0,0,0,Group
KoreaDPR,CotedIvoire,0,3,-3,0,1,Group
Chile,Spain,1,2,-1,0,1,Group
Switzerland,Honduras,0,0,0,0,0,Group
Uruguay,Korea,2,1,1,1,0,Round of Sixteen
UnitedStates,Ghana,1,2,-1,0,1,Round of Sixteen
Germany,England,4,1,3,1,0,Round of Sixteen
Argentina,Mexico,3,1,2,1,0,Round of Sixteen
Netherlands,Slovakia,2,1,1,1,0,Round of Sixteen
Brazil,Chile,3,0,3,1,0,Round of Sixteen
Paraguay,Japan,0,0,0,1,0,Round of Sixteen
Spain,Portugal,1,0,1,1,0,Round of Sixteen
Netherlands,Brazil,2,1,1,1,0,Quarter Finals
Uruguay,Ghana,1,1,0,1,0,Quarter Finals
Argentina,Germany,0,4,-4,0,1,Quarter Finals
Paraguay,Spain,0,1,-1,0,1,Quarter Finals
